Results After 1000 Battles:		Battle Time: 2024-12-12 11:07:26

Battle 1: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 2: Attacker Dice: [4, 2], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 3: Attacker Dice: [5, 2], Defender Dice: [6, 1], Outcome: Draw
Battle 4: Attacker Dice: [4, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 5: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 6: Attacker Dice: [6, 6], Defender Dice: [6, 4], Outcome: Draw
Battle 7: Attacker Dice: [5, 2], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 8: Attacker Dice: [4, 4], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 9: Attacker Dice: [5, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 10: Attacker Dice: [5, 2], Defender Dice: [4, 2], Outcome: Draw
Battle 11: Attacker Dice: [4, 4], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 12: Attacker Dice: [6, 6], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 13: Attacker Dice: [6, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 14: Attacker Dice: [3, 3], Defender Dice: [4, 2], Outcome: Draw
Battle 15: Attacker Dice: [5, 3], Defender Dice: [3, 3], Outcome: Draw
Battle 16: Attacker Dice: [6, 5], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 17: Attacker Dice: [2, 1], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 18: Attacker Dice: [5, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 19: Attacker Dice: [5, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 20: Attacker Dice: [5, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 21: Attacker Dice: [3, 3], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 22: Attacker Dice: [3, 3], Defender Dice: [4, 2], Outcome: Draw
Battle 23: Attacker Dice: [3, 1], Defender Dice: [6, 1], Outcome: Defender Wins
Battle 24: Attacker Dice: [4, 3], Defender Dice: [4, 1], Outcome: Draw
Battle 25: Attacker Dice: [6, 5], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 26: Attacker Dice: [6, 6], Defender Dice: [2, 1], Outcome: Attacker Wins
